url,email,validate
https://kbcapital.co.th,kb@kbcapital.co.th,True
https://www.beautyplus-fibroin.com,fibroinbp@gmail.com,False
https://www.ngernheng.com,Ngernheng2021@gmail.com,False
https://www.ngernyindee.co.th,,False
https://ngernsodjaidee.com,info@moneyjaidee.com,False
http://www.t-heritagehotel.com,info@t-heritagehotel.com,False
https://www.thefountainwellnesscenter.com,info@safe-wellness.com,False
http://th.shengxianthailand.com,,False
https://www.lordnelsonthailand.com,thelordnelson@outlook.co.th,False
https://flybird.co.th,flybird@flybird.co.th,False
https://nextmoney.co.th,cs@nextmoney.co.th,True
https://netdesign.ac.th,,False
https://nestopa.com,info@nestopa.com,True
https://www.bennic.com.tw,tpben@bennic.co.th,False
https://www.medparkhospital.com,access@medparkhospital.com,True
www.a2ztravelthai.com,a2ztravelthai@gmail.com,False
https://www.amtcapital.co.th,info@amtcapital.co.th,True
https://nlargeproperty.com,NLargePPT@gmail.com,False
https://www.awotglobal.com,marketing.th@awotglobal.com,False
https://www.aerzenrentalth.com,Thai@aerzenrental.com,False
www.canneticz.com,info@canneticz.com,True
https://canbis.co.th,canbiscompany@gmail.com,False
https://www.calmix.com,sales@calmix.com,True
https://samehotelbkk.com,reservation@sam-ehotel.com,False
https://www.naturaharvest.com,info@naturaharvest.com,True
http://bratbox.lnwshop.com,hello@bratboxsausage.com,False
https://fraction.co,,False
www.lairdupran.com,lairdupran.sales@gmail.com,False
https://saengroong.com,saengroongbooks.online@gmail.com,False
https://www.tooktee.com,support@tooktee.com,True
https://akvavitjomtien.com,pelle@akvavitjomtien.com,True
http://anglo-dutch.co.th,info@anglo-dutch.co.th,False
www.anfield 999.com,anfield.peem@gmail.com,False
https://assetprogroup.co,info@assetprogroup.co,True
https://www.golden-tech.co.th,admin@golden-tech.co.th,True
https://globeneng.com,sales@globeneng.com,True
https://www.gthandcraft.com,hr@gthandcraft.com,True
https://montevistakhaoyai.com,info@staging.montevistakhaoyai.com,True
http://www.cycambike.com,info@cycambike.com,False
https://www.scli.co.th,biobanking@scli.co.th,False
https://www.dcccallab.com,dcc_cs@hotmail.com,False
https://www.tcmi-th.com,waiting@mg-cmi.com.tw,False
https://sturgeon.co.th,alex@sturgeon.co.th,True
https://www.iiv.co.th,hi@iiv.co.th,True
https://highkick.co.th,contact@highkick.global,False
https://krajaiboon.com,Krajaiboon@gmail.com,False
https://graziosath.com,graziosathailand@gmail.com,False
https://kriscollection.com,kris_collection@hotmail.com,False
https://gumpunmuaythai.club,gumpun@gumpunmuaythai.club,True
www.gvmp.co.th,info.goodview@gmail.com,False
https://news.confidia.co.th,support@confidia.co.th,True
http://www.constancypattaya.com,tjjomtienpattaya@gmail.com,False
https://contentthailand.com,paul@films.in.th,False
https://www.kaigohouse.co.th,info@kaigohouse.co.th,True
https://kiztopia.co.th,hello@kiztopia.co.th,True
www.justgoodtime.co,justgoodtime.th@gmail.com,False
www.jinnansteelthailand.com,jinnaniron888@gmail.com,False
www.zaviago.com,service@zaviago.com,True
https://www.salotechthailand.com,,False
https://www.senerawellness.com,senera@jasasset.co.th,False
https://superxtoken.com,admin@superxtoken.com,True
https://drchenhospital.com,Info@drchenhospital.com,True
https://cqk-group.com,ciqikou.bkk@gmail.com,False
www.stwbiomass.co.th,stwbiomass@outlook.com,False
https://www.tyholiday.com,tyholidayresort@gmail.com,False
https://www.tnrbioscience.com,info@tnrbioscience.com,False
www.tcp.com,info@tcp.com,True
https://ttchampion.co.th,info@ttchampion.co.th,True
https://www.nakorncapital.co.th,admin@nakorncapital.co.th,True
https://ttmic.co.th,ttmic2020@gmail.com,False
https://stt.in.th,mou@lpsgoup.co.th,False
www.ngesth.com,sales@ngesth.com,True
https://browneandco.com,browne.united@gmail.com,False
https://capitalsure-amc.com,account2@capitalsure-amc.com,True
https://www.bodytune.co.th,,False
https://bontilife.com,info@bontilife.com,True
https://baanchan.co.th,contact@baanchan.co.th,True
www.beaut-app.com,support@beaut-app.com,True
https://www.begreenbio.co.th,hello@begreenbio.co.th,False
https://www.papopsolar.com,info@papopsolar.com,False
www.gtech.ac.th,gtech2559@gmail.com,False
https://panpanworld.co.th,contact@panpanworld.co.th,True
https://tnp.co.th,info@tnp.co.th,True
www.bluebedpattaya.com,bluebedpattaya@gmail.com,False
https://pk-innofoods.com,pinit@pk-innofoods.com,False
https://psmakuake.com,support@psmakuake.com,True
https://www.sicworld.com,,False
https://www.mungmeeaplus.com,,False
http://www.mitron-ce.com,mitron.ce@gmail.com,False
www.mespace-selfstorage.co.th,skt@mespace.storage,False
https://www.rene.co.th,info@rene.co.th,True
www.rsgcc.co.th,bookings@rsgcc.co.th,True
www.recycledaythailand.com,recycledaythailand@gmail.com,False
https://www.regalpreciousmetal.com,inquiry@regalpreciousmetal.com,True
https://www.loxley.co.th,info@loxley.co.th,True
https://longstayconsulting.co.th,info@longstayconsulting.co.th,True
www.warnermusicthailand.com,warnermusicthailand@gmail.com,False
https://www.vtinnovative.com,sale@vtinnovative.com,True
https://www.woodworkgroup.co.th,itc@woodworkgroup.co.th,True
www.spc-estate.com,info@spc-estate.com,True
http://www.speditionsigma.com,sale@speditionsigma.com,False
https://siammedibot.com,contact@siammedibot.com,True
https://www.siamseaplane.com,contact@siamseaplane.com,True
https://siamdl.co.th,support@siamdl.co.th,True
https://www.swe-trans.co.th,swe-trans@hotmail.com,False
http://www.anusornpower.com,admin.apow@gmail.com,False
https://amatayawellness.com,info@amatayawellness.com,True
https://kongthong-group.com,info@kongthong-group.com,True
https://imagetree.co.th,contact@imagetree.co.th,True
https://www.iridescentmed.com,info@iridescentmed.com,False
www.eazydigital.io,support@eazydigital.io marketing@eazydigital.io,True
http://www.aunjai.co.th,,False
https://udicakfarm.com,info@udicakfarm.com,True
www.packkingdee.com,packkingplants@hub-hd.com,False
https://goldenbeachboutique.com,goldenbeachhostel@hotmail.com,False
https://www.tangtekseng.com,Jatupat.t@gmail.com,False
https://www.together-resort.com,reservation@together-resort.com,True
https://breezehill-khaokho.com,breezehillkhaokho@hotmail.com,False
